action,score,retailer,scraped_name,scraped_price,matched_name,matched_slug,matched_category,product_url
WOULD IGNORE,0%,UltraPC,"AGI AI298 M.2 PCIe NVMe 1TB",599.00,"",,,https://www.ultrapc.ma/disques-ssd/6261-agi-ai298-m2-pcie-nvme-1tb.html
WOULD IGNORE,0%,UltraPC,"AGI AI298 M.2 PCIe NVMe 2TB",1099.00,"",,,https://www.ultrapc.ma/disques-ssd/6292-agi-ai298-m2-pcie-nvme-2tb.html
WOULD IGNORE,0%,UltraPC,"AMD Radeon RX 6950 XT 16GB GDDR6",6990.00,"",,,https://www.ultrapc.ma/amd/8883-amd-radeon-rx-6950-xt-16gb-gddr6.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 3 3100 (3.6 GHz / 3.9 GHz) Tray",399.00,"",,,https://www.ultrapc.ma/socket-am4/10499-amd-ryzen-3-3100-36-ghz-39-ghz-tray-730143312202.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 3 3200G Wraith Stealth Edition (3.6 GHz / 4 GHz) BOX",699.00,"",,,https://www.ultrapc.ma/socket-am4/5036-amd-ryzen-3-3200g-wraith-stealth-edition-36-ghz-4-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 3 4100 (3.8 GHz / 4.0 GHz) MPK",1149.00,"",,,https://www.ultrapc.ma/socket-am4/8363-amd-ryzen-3-4100-38-ghz-40-ghz-mpk.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3400G (3.7 GHz / 4.2 GHz)",1199.00,"",,,https://www.ultrapc.ma/socket-am4/8060-amd-ryzen-5-3400g-37-ghz-42-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3400G Wraith Spire Edition (3.7 GHz / 4.2 GHz) BOX",999.00,"",,,https://www.ultrapc.ma/socket-am4/5247-amd-ryzen-5-3400g-wraith-spire-edition-37-ghz-42-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3400G Wraith Spire Edition (3.7 GHz / 4.2 GHz) BOX",999.00,"",,,https://www.ultrapc.ma/socket-am4/11666-amd-ryzen-5-3400g-wraith-spire-edition-37-ghz-42-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3500X Wraith Spire (3.6 GHz / 4.1 GHz)",890.00,"",,,https://www.ultrapc.ma/socket-am4/8251-amd-ryzen-5-3500x-wraith-spire-36-ghz-41-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3600 (3.6 GHz / 4.2 GHz) Tray",700.00,"",,,https://www.ultrapc.ma/socket-am4/8344-amd-ryzen-5-3600-36-ghz-42-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 3600 Wraith Stealth (3.6 GHz / 4.2 GHz  MPK",999.00,"",,,https://www.ultrapc.ma/socket-am4/3013-amd-ryzen-5-3600-wraith-stealth-36-ghz-42-ghz-mpk.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 4500 Wraith Stealth (3.6 GHz / 4.1 GHz)",699.00,"",,,https://www.ultrapc.ma/socket-am4/5248-amd-ryzen-5-4500-wraith-stealth-36-ghz-41-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 4600G (3.7 GHz / 4.2 GHz) Tray",1099.00,"",,,https://www.ultrapc.ma/socket-am4/8377-amd-ryzen-5-4600g-37-ghz-42-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 4600G Wraith Stealth (3.7 GHz / 4.2 GHz) BOX",1249.00,"",,,https://www.ultrapc.ma/socket-am4/5729-amd-ryzen-5-4600g-wraith-stealth-37-ghz-42-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 5500 (3.6 GHz / 4.2 GHz) Tray",899.00,"",,,https://www.ultrapc.ma/socket-am4/7475-amd-ryzen-5-5500-36-ghz-42-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 5500 Wraith Stealth (3.6 GHz / 4.2 GHz) BOX",1099.00,"",,,https://www.ultrapc.ma/socket-am4/4940-amd-ryzen-5-5500-wraith-stealth-36-ghz-42-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 5500GT Wraith Stealth (3.6 GHz / 4.4 GHz)",1499.00,"",,,https://www.ultrapc.ma/socket-am4/7286-amd-ryzen-5-5500gt-wraith-stealth-36-ghz-44-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 5600G (3.9 GHz / 4.4 GHz) Tray",1699.00,"",,,https://www.ultrapc.ma/socket-am4/5351-amd-ryzen-5-5600g-39-ghz-44-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 5600G Wraith Stealth (3.9 GHz / 4.4 GHz) BOX",1699.00,"",,,https://www.ultrapc.ma/socket-am4/4620-amd-ryzen-5-5600g-wraith-stealth-39-ghz-44-ghz-box.html
